Document,Page,Block,WordCount,Text
DDDD & DD.pdf,1,1,24,DDDD & DD Dynamicznie Dedukowane Drzewa Decyzyjne & Detekcja Dyferencji. Wspomaganie Podejmowania Decyzji w Sprzedaży Biżuterii. Narzędzie Wizualizacji Preferencji Klientów. Patryk Lange Uniwersytet SWPS.
DDDD & DD.pdf,2,1,24,"W branży jubilerskiej, gdzie decyzje o zarządzaniu asortymentem i. pozycjonowaniu często pojedynczych sztuk produkt bywa działaniem. instynktownym, zastosowanie zaawansowanych metod analizy danych, takich jak."
DDDD & DD.pdf,2,2,27,"Proces Hierarchii Analitycznej (AHP), nabiera szczególnego znaczenia. Wraz z postępem narzędzi analitycznych w biznesie, szczególnie w erze Sztucznej. Inteligencji, odchodzimy od interpretowania średnich i median na rzecz."
DDDD & DD.pdf,2,3,46,"złożonych metod statystycznych czy nie wyjaśnialnego uczenia maszynowego. W oparciu o metodę AHP, prezentowane narzędzie wizualizuje hierarchię. preferencji klientów oraz umożliwia porównanie tych preferencji pozwalając. użytkownikowi na swobodny dobór poziomów drzewa, zakresów tolerancji czy. sposobów reprezentacji danych Metodologia Model AHP został zaimplementowany przy użyciu języka skryptowego."
DDDD & DD.pdf,2,4,28,"Python, korzystając z bibliotek takich jak pandas, numpy i matplotlib. Model opiera się na trójstopniowej hierarchii preferencji, którą użytkownik. może ustawić na jakąkolwiek kombinacje dostępnych kolumn. Na potrzeby"
DDDD & DD.pdf,2,5,25,"omówienia, za przykład weźmy wybór następujących trzech kolumn:. - Poziom 1 ‘Typ Biżuterii’ np. Kolczyki, Zawieszka - Poziom 2 ‘Podtyp’ np. Wiszące, Kółka, Zodiak, Medalik."
DDDD & DD.pdf,2,6,28,"- Poziom 3 ‘Kamienie’ np. Cyrkonia, Brylant, Gładkie(brak) Użytkownik wybiera również Kolumnę agregującą oraz typ agregacji - w. naszym przypadku będzie to ‘Cena Brutto’ oraz ‘Suma’. Wewnątrz każdego"
DDDD & DD.pdf,2,7,26,"poziomu dane są agregowane dla każdej grupy wewnątrz każdego poziomu oraz. skalowane wybranym algorytmem reprezentując wagi decyzyjne klientów, które. są następnie wizualizowane w postaci drzewa AHP."
DDDD & DD.pdf,3,1,20,Python W zależności od potrzeb obliczone już wagi można reprezentować w. różnych skalach lub nawet surowych wartościach. Ważnym jest również
DDDD & DD.pdf,3,2,47,"zauważyć, że każda kolejna grupa jest mniejsza - obliczając wagi dla. kolejnych poziomów zawężamy ilość dostępnych danych. Na powyższym przykładzie widzimy zagregowane sumy brutto przeskalowane algorytmem. MinMaxScaler() Powyższe wagi jednak mogą mylić, gdyż wkład ‘Łańcuszka’. oraz ‘Pierścionka’ jest na podobnym poziomie - oba otrzymują wagę bliską 1."
DDDD & DD.pdf,3,3,28,"(Maksymalnej) Problem jest również widoczny na dalszych poziomach, w. których wagi odnoszą się do wartości Maksymalnej wewnątrz swojego rodzica,. w efekcie czego użytkownik, aby dogłębnie zinterpretować wizualizacje musi."
DDDD & DD.pdf,3,4,84,"przeliczać relatywny udział podkategorii w głowie. Całe szczęście program posiada również przyjaźniejsze dla oka. ustawienia Zastosowane rozwiązanie skaluje wagi w taki sposób, aby dawały. łączną sumę VOTE_AMOUNT Poniżej skonstruujemy drzewo które reprezentuję. zagregowaną kolumnę za pomocą przechodnich na dzieci ‘głosów’. SET_SCALER = RobustScaler() VOTE_SCALER_INSTEAD = True SHARE_VOTES_WITH_PARENT = False VOTE_AMOUNT = 100 GOAL_NAME, COL_GOAL = 'Sprzedaż', 'Cena brutto'. COL_LV_1, COL_LV_2, COL_LV_3 = 'Asortyment_baza', 'Asortyment_spec', 'TypKamień'. GOAL_FUNC = 'sum' AHP_LIM1, AHP_LIM2, AHP_LIM3 = 10, 2. 5, 0 5 CONDITION_COLUMN, DATASET_1_CONDITION, DATASET_2_CONDITION = ""Województwo"", ""Mazowieckie"",. ""Śląskie"""
DDDD & DD.pdf,4,1,27,Liczba Głosujących jest dedykowanym rozwiązaniem które skaluje. zagregowaną wartość od 0 do 100 która jest przechodnia z wyższymi. poziomami W efekcie otrzymujemy ścieżki decyzyjne dla naszej setki.
DDDD & DD.pdf,4,2,29,"klientów w bardziej instynktownej wizualizacji. Teraz historia jest jasna. Na sto klientów w województwie Mazowieckim. 19 z nich sięgnie po Kolczyki, dalej 8 z 19 weźmie Wiszące a wśród."
DDDD & DD.pdf,4,3,24,wiszących 3 z nich będzie z cyrkonią a 3 bez. Zauważamy natychmiast że sumy. widocznych kategorii nie składają się na całość wartości rodzica. Do
DDDD & DD.pdf,4,4,21,użytkownika należy ustawienie progów dla każdego poziomu od których. będziemy definiować ‘ważne’ decyzje. Limity te są widoczne w tytule i służą.
DDDD & DD.pdf,4,5,28,jako pomoc w odfiltrowywaniu niepotrzebnych danych. Ważnym jest ich świadomy dobór w zależności od reprezentowanych wartości - dla wag. przeskalowanych MinMaxScaler() należałoby podać wartość w przedziale od 0.
DDDD & DD.pdf,5,1,24,"do 1 W rozwiązaniu z liczbą głosujących, skoro maksymalną wartością jest. 100, możemy wyobrazić sobie limity 10, 2 oraz 1 - pokazując te ścieżki."
DDDD & DD.pdf,5,2,49,"które mają co najmniej 10 głosów w poziomie 1, 2 głosy w poziomie 2 oraz 1. głos w poziomie 3. Rysowane są tylko te decyzje, które spełniają wszystkie. warunki, to jest - nie zobaczymy dziecka na poziomie 3 który spełnia. warunki jeśli rodzice również tychże warunków nie spełniają. Poniżej"
DDDD & DD.pdf,5,3,48,"zobaczymy zachowanie w różnych wartościach. Nie można zapomnieć o tym, że nasze 100 klientów to w tym momencie. przeskalowane sumy cen brutto które teoretyczni Mazowszanie zapłacili. Kod jest przystosowany do jakichkolwiek danych numerycznych oraz typu agregacji. w celach obliczenia wag oraz daje całkowitą swobodę w ustawieniu poziomów w."
